                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.36488,                0.50497,                 1.0865,                0.90444,                0.84768,                0.93749,                0.89928,                0.29194,                 0.4523,                0.92454,               0.001684,               0.001684,               0.001684
                     86,                 0.3646,                 0.5028,                 1.0854,                0.89059,                0.86136,                0.93475,                0.89257,                0.29869,                0.45965,                0.93761,               0.001585,               0.001585,               0.001585
                     87,                0.37011,                0.49155,                 1.0951,                0.87715,                0.87225,                0.93664,                 0.8983,                0.28483,                 0.4394,                0.92465,               0.001486,               0.001486,               0.001486
                     88,                0.36112,                0.48499,                 1.0787,                0.89015,                0.84943,                0.93817,                0.89988,                0.29181,                 0.4414,                0.92938,               0.001387,               0.001387,               0.001387
                     89,                0.35546,                0.46894,                 1.0804,                0.88489,                0.87181,                0.94121,                0.90646,                0.28166,                0.43731,                0.91746,               0.001288,               0.001288,               0.001288
                     90,                0.35987,                0.46979,                 1.0793,                0.87663,                0.89264,                0.94112,                0.90576,                0.28122,                0.44066,                0.91339,               0.001189,               0.001189,               0.001189
                     91,                0.35192,                0.45962,                 1.0788,                0.89767,                0.87527,                0.94663,                0.91111,                0.27989,                0.44166,                0.91635,                0.00109,                0.00109,                0.00109
                     92,                0.35777,                0.45701,                 1.0833,                0.89998,                0.85349,                0.94366,                0.90174,                 0.3008,                0.42656,                0.93065,               0.000991,               0.000991,               0.000991
                     93,                0.35571,                0.45716,                 1.0803,                0.89181,                0.86417,                0.94434,                0.90719,                0.29042,                0.42205,                0.92397,               0.000892,               0.000892,               0.000892
                     94,                0.34576,                0.44201,                 1.0768,                0.91192,                0.85741,                0.94219,                0.90435,                0.29034,                0.42547,                0.92086,               0.000793,               0.000793,               0.000793
                     95,                0.35584,                0.44772,                 1.0803,                0.90289,                0.87081,                0.94637,                0.91145,                0.28137,                0.40862,                0.91283,               0.000694,               0.000694,               0.000694
                     96,                0.34473,                 0.4501,                  1.074,                0.89497,                0.87549,                0.94615,                0.91121,                0.28153,                0.41539,                0.91118,               0.000595,               0.000595,               0.000595
                     97,                0.33789,                0.45581,                 1.0676,                0.87632,                0.89548,                0.94819,                0.91079,                0.28139,                 0.4136,                0.91392,               0.000496,               0.000496,               0.000496
                     98,                0.34378,                0.42795,                 1.0778,                0.91687,                 0.8607,                0.95056,                0.91221,                0.28136,                0.40146,                0.91175,               0.000397,               0.000397,               0.000397
                     99,                0.34133,                0.42041,                 1.0708,                0.91288,                 0.8719,                0.94831,                0.91229,                0.28349,                0.40361,                0.91618,               0.000298,               0.000298,               0.000298
